filename,source_dataset,split
THM_00078_00070.tif,pv_thermal_inspection,train
THM_00078_00071.tif,pv_thermal_inspection,train
THM_00078_00072.tif,pv_thermal_inspection,train
THM_00078_00073.tif,pv_thermal_inspection,train
THM_00078_00074.tif,pv_thermal_inspection,train
THM_00078_00075.tif,pv_thermal_inspection,train
THM_00078_00076.tif,pv_thermal_inspection,train
THM_00078_00077.tif,pv_thermal_inspection,holdout
THM_00078_00078.tif,pv_thermal_inspection,train
THM_00078_00079.tif,pv_thermal_inspection,train
THM_00078_00080.tif,pv_thermal_inspection,train
THM_00078_00081.tif,pv_thermal_inspection,train
THM_00078_00082.tif,pv_thermal_inspection,train
THM_00078_00083.tif,pv_thermal_inspection,train
THM_00078_00084.tif,pv_thermal_inspection,train
THM_00078_00085.tif,pv_thermal_inspection,train
THM_00078_00086.tif,pv_thermal_inspection,train
THM_00078_00087.tif,pv_thermal_inspection,train
THM_00078_00088.tif,pv_thermal_inspection,train
THM_00078_00089.tif,pv_thermal_inspection,train
THM_00078_00090.tif,pv_thermal_inspection,train
THM_00078_00091.tif,pv_thermal_inspection,train
THM_00078_00092.tif,pv_thermal_inspection,train
THM_00078_00093.tif,pv_thermal_inspection,train
THM_00078_00094.tif,pv_thermal_inspection,train
THM_00078_00095.tif,pv_thermal_inspection,train
THM_00078_00096.tif,pv_thermal_inspection,train
THM_00078_00097.tif,pv_thermal_inspection,train
THM_00078_00098.tif,pv_thermal_inspection,train
THM_00078_00099.tif,pv_thermal_inspection,train
THM_00078_00100.tif,pv_thermal_inspection,train
THM_00078_00101.tif,pv_thermal_inspection,train
THM_00078_00102.tif,pv_thermal_inspection,train
THM_00078_00103.tif,pv_thermal_inspection,train
THM_00078_00104.tif,pv_thermal_inspection,train
THM_00078_00105.tif,pv_thermal_inspection,train
THM_00078_00106.tif,pv_thermal_inspection,train
THM_00078_00107.tif,pv_thermal_inspection,train
THM_00078_00108.tif,pv_thermal_inspection,train
THM_00078_00109.tif,pv_thermal_inspection,train
THM_00078_00110.tif,pv_thermal_inspection,train
THM_00078_00111.tif,pv_thermal_inspection,train
THM_00078_00112.tif,pv_thermal_inspection,train
THM_00078_00113.tif,pv_thermal_inspection,holdout
THM_00078_00114.tif,pv_thermal_inspection,train
THM_00078_00115.tif,pv_thermal_inspection,train
THM_00078_00116.tif,pv_thermal_inspection,train
THM_00078_00117.tif,pv_thermal_inspection,train
THM_00078_00118.tif,pv_thermal_inspection,train
THM_00078_00119.tif,pv_thermal_inspection,train
THM_00078_00120.tif,pv_thermal_inspection,holdout
THM_00078_00121.tif,pv_thermal_inspection,train
THM_00078_00122.tif,pv_thermal_inspection,train
THM_00078_00123.tif,pv_thermal_inspection,train
THM_00078_00124.tif,pv_thermal_inspection,train
THM_00078_00125.tif,pv_thermal_inspection,train
THM_00078_00126.tif,pv_thermal_inspection,train
THM_00078_00127.tif,pv_thermal_inspection,train
THM_00078_00128.tif,pv_thermal_inspection,train
THM_00078_00129.tif,pv_thermal_inspection,train
THM_00078_00130.tif,pv_thermal_inspection,train
THM_00078_00131.tif,pv_thermal_inspection,train
THM_00078_00132.tif,pv_thermal_inspection,train
THM_00078_00133.tif,pv_thermal_inspection,train
THM_00078_00134.tif,pv_thermal_inspection,train
THM_00078_00135.tif,pv_thermal_inspection,train
THM_00078_00136.tif,pv_thermal_inspection,train
THM_00078_00137.tif,pv_thermal_inspection,train
